nama_komoditas,Bobot0,Bobot 2201,Bobot 2202,Bobot 2203,Bobot 2204,Bobot 2205,Bobot 2206,Bobot 2207,Bobot 2208,Bobot 2209,Bobot 2210,Bobot 2211,Bobot 2212,Bobot 2301,Bobot 2302,Bobot 2303,Bobot 2304,Bobot 2305,Bobot 2306,Bobot 2307,Bobot 2308,Bobot 2309,Bobot 2310,Bobot 2311,Bobot 2312,Bobot 2401,Bobot 2402,Bobot 2403,Bobot 2404,Bobot 2405,Bobot 2406,Bobot 2407,Bobot 2408,Bobot 2409,Bobot 2410,Bobot 2411,Bobot 2412,Bobot 2501,Bobot 2502,Bobot 2503,Bobot 2504,Bobot 2505,Bobot 2506,Bobot 2507,Bobot 2508,Bobot 2509,Bobot 2510,Bobot 2511,Bobot 2512,Bobot 2601,Bobot 2602,Bobot 2603,Bobot 2604,Bobot 2605,Bobot 2606,Bobot 2607,Bobot 2608,Bobot 2609,Bobot 2610,Bobot 2611,Bobot 2612,Bobot 2701,Bobot 2702,Bobot 2703,Bobot 2704,Bobot 2705,Bobot 2706,Bobot 2707,Bobot 2708,Bobot 2709,Bobot 2710,Bobot 2711,Bobot 2712
Beras,3.4116656139321884,,,,,,,,,,,,,3.743861682599755,3.775005978414077,3.720447372715289,3.7127527644158658,3.708966993299971,3.700117822565194,3.689737509163683,3.6930290745076046,3.9930269806046277,4.025846195709769,4.005310515690262,4.004024017066408,4.030987634166106,4.033303082275726,4.016488221074434,4.036045464976696,4.0528995864042905,4.079248733009031,4.101549232101413,4.124265866725929,4.167877681742354,4.177019046519928,4.157964073011426,4.136010506894368,4.185989387524967,4.2302665344342145,4.180930041829395,4.123312889273426,4.140360244045564,4.1476694330585175,4.138198457751815,4.115936404411385,4.089178413145606,4.084101962714608,4.084809267019656,4.076976523534547,4.115046368429331,4.094401734272126,4.113518357010137,,,,,,,,,,,,,,,,,,,,,
Tepung Terigu,0.02475132098233332,,,,,,,,,,,,,0.027306457407069933,0.027261448395685804,0.02721992867810154,0.027232165715986304,0.02720439797788671,0.027071723619349414,0.0269809140974793,0.026953242955888922,0.026766037531417878,0.026788483757123126,0.026287822290412807,0.026014949376008213,0.026070234392066165,0.025935453407939197,0.0264037450850248,0.026366260126239553,0.02624044526208332,0.026247746287270404,0.026434059708021276,0.026457470379705975,0.026586994108077733,0.026655442708456576,0.026624787751907478,0.026509535117112577,0.026188122468403012,0.026201096858356514,0.02574625426912433,0.025377141754931463,0.025697989556960774,0.0256446880407276,0.02509300212942214,0.024848274229026177,0.024513621900309843,0.02446942160291701,0.024496764226902494,0.024359967587145977,0.024356872553734428,0.024273497991705844,0.024346745814162064,,,,,,,,,,,,,,,,,,,,,
Daging Ayam Ras,0.5987536978253248,,,,,,,,,,,,,0.5968573598275853,0.5759852834121598,0.58407063909475,0.5857997074707934,0.6125312681406205,0.6109883076468723,0.6154042295997201,0.6080669773024169,0.6047741554739268,0.6031954125476547,0.5982983314075355,0.597057065890345,0.6218607553433873,0.6190363371009876,0.6204765587732659,0.6093848656583002,0.6063769461148253,0.6017101881992674,0.6005945312184059,0.5944650721783389,0.6004768916802257,0.6150883720232393,0.6218132197212247,0.6691806714075763,0.6912969199650796,0.6699326383758771,0.7099452903424784,0.6962876574545057,0.7078627912332465,0.6766275862813165,0.7032831793522399,0.7272146493946318,0.724860144351439,0.7147713092215172,0.7152447133842326,0.7873328867234545,0.776752495748726,0.7810333915727397,0.8066769860052461,,,,,,,,,,,,,,,,,,,,,
Daging Sapi,0.41024571966650664,,,,,,,,,,,,,0.40003247475709414,0.39665906870538425,0.39910475967791303,0.40004198829401183,0.39963407871841505,0.39854130337592136,0.39855904210479726,0.3991409011430157,0.39782377515905143,0.3976445434247778,0.39514022814836136,0.3959236212156942,0.39668142360923175,0.3945119043916534,0.391907225089772,0.3916383935628545,0.38962154724346565,0.38960977478476383,0.3918744611429743,0.39332373009672283,0.3945059831584874,0.3949970738824051,0.39154240413544344,0.387717396893971,0.38860196058892493,0.3895998476068069,0.3850553494648663,0.38330284842287765,0.3851641286080021,0.38561328507251974,0.38120430615460144,0.3773473002673784,0.37377571608942844,0.3728834075680095,0.37328084356039515,0.37121762751737136,0.37452199456904345,0.38009519146799225,0.3874211846212417,,,,,,,,,,,,,,,,,,,,,
Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,0.09738818032544497,,,,,,,,,,,,,0.0985114145213824,0.10055769873257443,0.09919678468118145,0.10146294878099892,0.09998156688708623,0.09883125687441241,0.0972423362585746,0.09704848020239809,0.09578346089632873,0.09468085102953284,0.0953727866607499,0.09424163136040924,0.09316421532596542,0.08706831642285355,0.08732210529281803,0.08635471142222137,0.08810877688557218,0.08849915252230103,0.08705356783206925,0.08983393999918722,0.08598651192914551,0.0910419250201341,0.09051504411676234,0.0938561809644558,0.09541463174230147,0.09542200953160218,0.10312217640085983,0.1082924397830438,0.11686709349129362,0.11099914885922596,0.1114411267149353,0.11105993614581179,0.11581382256795009,0.11636619203735728,0.11429070912418379,0.11764930302256701,0.11499999257944941,0.11656234875485134,0.11678804668666191,,,,,,,,,,,,,,,,,,,,,
Susu Bubuk,0.372108561509423,,,,,,,,,,,,,0.37132489655971096,0.37073706342660523,0.37571789425219243,0.3831091060098015,0.38398849058800316,0.38420925559139746,0.38827032351474666,0.3948864363736479,0.39482476275864203,0.39464688217084887,0.3909321216170763,0.38884283450821894,0.3891842355655033,0.38516481710364453,0.3830821286993166,0.38344132506519824,0.38175640042910164,0.38404559611237993,0.386277939546081,0.38931638075733355,0.39054367766164527,0.38839610682085657,0.3869619142009991,0.38583268611849736,0.38694783935744137,0.3870992373410419,0.38248823097400125,0.37733393390960057,0.37835954969932345,0.3787486670055071,0.37684060323777646,0.3737032775426195,0.3693591143330882,0.36761767341101254,0.3680078188225843,0.36488610835497093,0.36617707935624777,0.36401151976630897,0.3634698478151609,,,,,,,,,,,,,,,,,,,,,
Susu Kental Manis,0.054593338468843566,,,,,,,,,,,,,0.056935701702660324,0.056841855049178464,0.05691769673546061,0.05693705640835647,0.056923259401066975,0.05717278269163337,0.05710162127757592,0.05715319270148117,0.05698147363595217,0.056963076140584205,0.05634879640330803,0.05617142232689715,0.05671070988325029,0.056398128504675224,0.05604510266286688,0.05589302454028156,0.055585209008913464,0.05564812589439899,0.05583026427716441,0.0560003202114091,0.05625277657988905,0.05632476354973779,0.0561205939752477,0.055830867690242494,0.05679217446384371,0.057158556697011,0.05649661758260055,0.05574433690554539,0.05539692353062894,0.05523911745388645,0.05564842829073999,0.055590664245482015,0.05508327072709986,0.054975638008641414,0.055067804961659424,0.05460441364055126,0.054790095368221665,0.05466495495547066,0.0548302353300722,,,,,,,,,,,,,,,,,,,,,
Telur Ayam Ras,0.820683653408611,,,,,,,,,,,,,0.9013918647456216,0.8513441506096462,0.8214779462681876,0.8813118161308238,0.8857683287771395,0.8786234643606531,0.8739067231464839,0.875436514266038,0.8633041860491159,0.8345770615374423,0.8205318480118227,0.8176635441881606,0.7971970561587468,0.8064526524600827,0.8214028483179622,0.8138094042691902,0.7953400848204596,0.7928896158298121,0.7917492424063757,0.7841330322989783,0.7834963480085734,0.7834699082939258,0.7759834891196289,0.7804951814975085,0.8476730827742095,0.8263058815506631,0.8054557133864986,0.7934664094506996,0.8085707276598223,0.781098510048134,0.7863224763468888,0.8371817785968766,0.8254084226467525,0.8174088580728812,0.8205317998044389,0.8582852169705113,0.8470860351272522,0.8254240856613473,0.8152648382494845,,,,,,,,,,,,,,,,,,,,,
Minyak Goreng,1.404024402077195,,,,,,,,,,,,,1.3272068972895514,1.3432965888196888,1.3203099341555309,1.327872374250221,1.3402023657249718,1.3327855874484302,1.3229130824936266,1.3164369398899667,1.3042200859310804,1.2998684517520946,1.290222236500117,1.2937635319758198,1.2985395212475372,1.3182548152598235,1.3138341982040955,1.351173371107587,1.3488152897871497,1.3437503905017354,1.3322807067054947,1.3326855357562422,1.3468802268347009,1.382761460932278,1.4066212977239554,1.420239729593659,1.4378078378399777,1.4383501171537811,1.429115102067662,1.4069217766171018,1.411813496963634,1.4099975752055651,1.3983272166064482,1.38826755818677,1.374040486844999,1.3653808650819494,1.360724560581739,1.3590195381510901,1.3697072654210516,1.369147922776774,1.3785433782435372,,,,,,,,,,,,,,,,,,,,,
Tomat,0.15195006996313412,,,,,,,,,,,,,0.17694804005542497,0.1599387931889394,0.14679375743266082,0.14308250774547535,0.14152418598250044,0.14651515327415326,0.1534038706597284,0.18204921258564297,0.19070199871068486,0.16993516509011358,0.15037767605016947,0.18227940330439776,0.1875026536404676,0.17879154068484523,0.1653365236113835,0.15379666785281373,0.13209489761171492,0.10026108481197679,0.06925604535396558,0.06847917951470281,0.0666861670884302,0.07839909529987464,0.14622803653384686,0.1362232420458247,0.10672420208627169,0.10631987066311893,0.10752785388693387,0.11095626408431725,0.12410701389904427,0.1278898922715471,0.1281531113877461,0.1246270030374829,0.11780763465071017,0.11031832204109104,0.09371028719787203,0.08949852501385086,0.10753803073444797,0.13471824278678785,0.10955997952868499,,,,,,,,,,,,,,,,,,,,,
