id,nama_komoditas,nama_varian,satuan,kuantitas,created_at,updated_at
1,Beras,,Kg,1.0,,
2,Tepung Terigu,,Kg,1.0,,
3,Daging Ayam Ras,,Kg,1.0,,
4,Daging Sapi,,Kg,1.0,,
5,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,,Kg,1.0,,
6,Susu Bubuk,,Kg,1.0,,
7,Susu Kental Manis,,Kg,1.0,,
8,Telur Ayam Ras,,Kg,1.0,,
9,Minyak Goreng,,Kg,1.0,,
10,Tomat,,Kg,1.0,,
11,Cabai Merah,,Kg,1.0,,
12,Cabai Rawit,,Kg,1.0,,
13,Bawang Merah,,Kg,1.0,,
14,Bawang Putih,,Kg,1.0,,
15,Tahu Mentah,,Kg,1.0,,
16,Tempe,,Kg,1.0,,
17,Gula Pasir,,Kg,1.0,,
18,Susu Bubuk Untuk Balita,,Kg,1.0,,
19,Susu Bubuk Untuk Bayi,,Kg,1.0,,
20,Bahan Bakar Rumah Tangga,,Kg,1.0,,
21,Emas Perhiasan,,g,1.0,,
