id,tanggal,nama_komoditas,harga
1,2022-12-01,Beras,15020.838084
2,2022-12-01,Tepung Terigu,14086.830783
3,2022-12-01,Daging Ayam Ras,52409.721329
4,2022-12-01,Daging Sapi,161325.757398
5,2022-12-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,57145.555732
6,2022-12-01,Susu Bubuk,49955.307473
7,2022-12-01,Susu Kental Manis,12625.953382
8,2022-12-01,Telur Ayam Ras,1977.939127
9,2022-12-01,Minyak Goreng,15888.216715
10,2022-12-01,Tomat,14829.810021
11,2022-12-01,Cabai Merah,41990.372416
12,2022-12-01,Cabai Rawit,47599.312633
13,2022-12-01,Bawang Merah,32395.184837
14,2022-12-01,Bawang Putih,29096.997855
15,2022-12-01,Tahu Mentah,11130.165653
16,2022-12-01,Tempe,9477.133159
17,2022-12-01,Gula Pasir,14177.390013
18,2022-12-01,Susu Bubuk Untuk Balita,59378.157898
19,2022-12-01,Susu Bubuk Untuk Bayi,73537.731963
20,2022-12-01,Bahan Bakar Rumah Tangga,24359.229556
21,2022-12-01,Emas Perhiasan,825488.221009
1,2023-01-01,Beras,14822.600009
2,2023-01-01,Tepung Terigu,14086.830783
3,2023-01-01,Daging Ayam Ras,50978.178539
4,2023-01-01,Daging Sapi,161325.757398
5,2023-01-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,57794.242684
6,2023-01-01,Susu Bubuk,50739.461433
7,2023-01-01,Susu Kental Manis,12625.522022
8,2023-01-01,Telur Ayam Ras,1974.944158
9,2023-01-01,Minyak Goreng,18261.766763
10,2023-01-01,Tomat,14541.475188
11,2023-01-01,Cabai Merah,43584.357994
12,2023-01-01,Cabai Rawit,54528.526513
13,2023-01-01,Bawang Merah,40265.864891
14,2023-01-01,Bawang Putih,31112.842193
15,2023-01-01,Tahu Mentah,11170.663899
16,2023-01-01,Tempe,9477.133159
17,2023-01-01,Gula Pasir,14317.738637
18,2023-01-01,Susu Bubuk Untuk Balita,58725.895114
19,2023-01-01,Susu Bubuk Untuk Bayi,70645.561386
20,2023-01-01,Bahan Bakar Rumah Tangga,24270.13351
21,2023-01-01,Emas Perhiasan,845615.017793
1,2023-02-01,Beras,14946.901152
2,2023-02-01,Tepung Terigu,14086.830783
3,2023-02-01,Daging Ayam Ras,49276.696346
4,2023-02-01,Daging Sapi,160229.429961
5,2023-02-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,59092.14901
6,2023-02-01,Susu Bubuk,50742.77627
7,2023-02-01,Susu Kental Manis,12625.522022
8,2023-02-01,Telur Ayam Ras,1868.369545
9,2023-02-01,Minyak Goreng,18625.29912
10,2023-02-01,Tomat,13165.366788
11,2023-02-01,Cabai Merah,49804.99694
12,2023-02-01,Cabai Rawit,48165.409144
13,2023-02-01,Bawang Merah,39957.100866
14,2023-02-01,Bawang Putih,32789.81526
15,2023-02-01,Tahu Mentah,11170.663899
16,2023-02-01,Tempe,9477.133159
17,2023-02-01,Gula Pasir,14429.234943
18,2023-02-01,Susu Bubuk Untuk Balita,59377.937746
19,2023-02-01,Susu Bubuk Untuk Bayi,71017.497848
20,2023-02-01,Bahan Bakar Rumah Tangga,24270.13351
21,2023-02-01,Emas Perhiasan,838887.385346
1,2023-03-01,Beras,14711.251229
2,2023-03-01,Tepung Terigu,14046.634565
3,2023-03-01,Daging Ayam Ras,49901.832855
4,2023-03-01,Daging Sapi,161002.542312
5,2023-03-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,58214.742311
6,2023-03-01,Susu Bubuk,51355.980408
7,2023-03-01,Susu Kental Manis,12625.522022
8,2023-03-01,Telur Ayam Ras,1800.422621
9,2023-03-01,Minyak Goreng,18275.7304
10,2023-03-01,Tomat,12067.231993
11,2023-03-01,Cabai Merah,45458.650822
12,2023-03-01,Cabai Rawit,44450.869821
13,2023-03-01,Bawang Merah,34547.524509
14,2023-03-01,Bawang Putih,34985.981817
15,2023-03-01,Tahu Mentah,11170.663899
16,2023-03-01,Tempe,9477.133159
17,2023-03-01,Gula Pasir,14540.567003
18,2023-03-01,Susu Bubuk Untuk Balita,60166.756525
19,2023-03-01,Susu Bubuk Untuk Bayi,71301.583201
20,2023-03-01,Bahan Bakar Rumah Tangga,24270.13351
21,2023-03-01,Emas Perhiasan,849184.411569
1,2023-04-01,Beras,14675.833804
2,2023-04-01,Tepung Terigu,14166.887878
3,2023-04-01,Daging Ayam Ras,50032.543474
4,2023-04-01,Daging Sapi,161325.757398
5,2023-04-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,59524.420017
6,2023-04-01,Susu Bubuk,52383.8573
7,2023-04-01,Susu Kental Manis,12656.225219
8,2023-04-01,Telur Ayam Ras,2036.671775
9,2023-04-01,Minyak Goreng,18374.160161
10,2023-04-01,Tomat,13003.071709
11,2023-04-01,Cabai Merah,31832.884454
12,2023-04-01,Cabai Rawit,37866.019576
13,2023-04-01,Bawang Merah,34076.696615
14,2023-04-01,Bawang Putih,35459.563446
15,2023-04-01,Tahu Mentah,11028.276304
16,2023-04-01,Tempe,9160.895528
17,2023-04-01,Gula Pasir,14521.300371
18,2023-04-01,Susu Bubuk Untuk Balita,60628.225955
19,2023-04-01,Susu Bubuk Untuk Bayi,70465.19703
20,2023-04-01,Bahan Bakar Rumah Tangga,24270.13351
21,2023-04-01,Emas Perhiasan,880527.160826
1,2023-05-01,Beras,14675.833804
2,2023-05-01,Tepung Terigu,14166.963094
3,2023-05-01,Daging Ayam Ras,52369.057635
4,2023-05-01,Daging Sapi,161325.757398
5,2023-05-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,58715.220095
6,2023-05-01,Susu Bubuk,52522.17759
7,2023-05-01,Susu Kental Manis,12661.428543
8,2023-05-01,Telur Ayam Ras,2089.142333
9,2023-05-01,Minyak Goreng,18473.510356
10,2023-05-01,Tomat,12988.227186
11,2023-05-01,Cabai Merah,24066.101462
12,2023-05-01,Cabai Rawit,31764.710964
13,2023-05-01,Bawang Merah,26658.116233
14,2023-05-01,Bawang Putih,21644.367497
15,2023-05-01,Tahu Mentah,10736.742335
16,2023-05-01,Tempe,8855.210269
17,2023-05-01,Gula Pasir,14492.900015
18,2023-05-01,Susu Bubuk Untuk Balita,61869.565301
19,2023-05-01,Susu Bubuk Untuk Bayi,72377.040933
20,2023-05-01,Bahan Bakar Rumah Tangga,24270.13351
21,2023-05-01,Emas Perhiasan,876815.084348
1,2023-06-01,Beras,14470.719218
2,2023-06-01,Tepung Terigu,14136.527088
3,2023-06-01,Daging Ayam Ras,55497.710567
4,2023-06-01,Daging Sapi,165288.950998
5,2023-06-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,58198.830014
6,2023-06-01,Susu Bubuk,52696.469527
7,2023-06-01,Susu Kental Manis,12751.799092
8,2023-06-01,Telur Ayam Ras,2077.972798
9,2023-06-01,Minyak Goreng,18412.663744
10,2023-06-01,Tomat,13483.136693
11,2023-06-01,Cabai Merah,28628.726102
12,2023-06-01,Cabai Rawit,35124.610572
13,2023-06-01,Bawang Merah,27249.768776
14,2023-06-01,Bawang Putih,23172.762519
15,2023-06-01,Tahu Mentah,10626.905771
16,2023-06-01,Tempe,8855.210269
17,2023-06-01,Gula Pasir,14645.110183
18,2023-06-01,Susu Bubuk Untuk Balita,61904.095616
19,2023-06-01,Susu Bubuk Untuk Bayi,72790.371771
20,2023-06-01,Bahan Bakar Rumah Tangga,24270.13351
21,2023-06-01,Emas Perhiasan,869599.103357
1,2023-07-01,Beras,14472.858312
2,2023-07-01,Tepung Terigu,14130.832878
3,2023-07-01,Daging Ayam Ras,56064.366887
4,2023-07-01,Daging Sapi,165785.838421
5,2023-07-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,57432.747821
6,2023-07-01,Susu Bubuk,49316.406124
7,2023-07-01,Susu Kental Manis,12773.645138
8,2023-07-01,Telur Ayam Ras,2072.938509
9,2023-07-01,Minyak Goreng,18330.399249
10,2023-07-01,Tomat,14158.882837
11,2023-07-01,Cabai Merah,38660.989335
12,2023-07-01,Cabai Rawit,38612.958384
13,2023-07-01,Bawang Merah,27523.314633
14,2023-07-01,Bawang Putih,23623.90125
15,2023-07-01,Tahu Mentah,11212.757665
16,2023-07-01,Tempe,8855.210269
17,2023-07-01,Gula Pasir,14804.589352
18,2023-07-01,Susu Bubuk Untuk Balita,61858.131096
19,2023-07-01,Susu Bubuk Untuk Bayi,73331.312111
20,2023-07-01,Bahan Bakar Rumah Tangga,24267.311056
21,2023-07-01,Emas Perhiasan,862289.195365
1,2023-08-01,Beras,14479.132161
2,2023-08-01,Tepung Terigu,14109.872729
3,2023-08-01,Daging Ayam Ras,55370.549051
4,2023-08-01,Daging Sapi,165951.799281
5,2023-08-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,57291.991349
6,2023-08-01,Susu Bubuk,50133.774775
7,2023-08-01,Susu Kental Manis,12779.323679
8,2023-08-01,Telur Ayam Ras,2075.615789
9,2023-08-01,Minyak Goreng,18232.307679
10,2023-08-01,Tomat,16795.094178
11,2023-08-01,Cabai Merah,43500.182831
12,2023-08-01,Cabai Rawit,42395.969987
13,2023-08-01,Bawang Merah,22188.284157
14,2023-08-01,Bawang Putih,24216.377484
15,2023-08-01,Tahu Mentah,12019.198408
16,2023-08-01,Tempe,8855.210269
17,2023-08-01,Gula Pasir,14958.342964
18,2023-08-01,Susu Bubuk Untuk Balita,61964.73392
19,2023-08-01,Susu Bubuk Untuk Bayi,73749.040075
20,2023-08-01,Bahan Bakar Rumah Tangga,24266.370311
21,2023-08-01,Emas Perhiasan,860102.625538
1,2023-09-01,Beras,15697.035348
2,2023-09-01,Tepung Terigu,14058.262709
3,2023-09-01,Daging Ayam Ras,55253.03484
4,2023-09-01,Daging Sapi,165951.799281
5,2023-09-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,56732.406686
6,2023-09-01,Susu Bubuk,50291.903696
7,2023-09-01,Susu Kental Manis,12783.110775
8,2023-09-01,Telur Ayam Ras,2053.627425
9,2023-09-01,Minyak Goreng,18122.91142
10,2023-09-01,Tomat,17651.612557
11,2023-09-01,Cabai Merah,43799.166366
12,2023-09-01,Cabai Rawit,44050.393076
13,2023-09-01,Bawang Merah,18905.208349
14,2023-09-01,Bawang Putih,23918.254446
15,2023-09-01,Tahu Mentah,12019.198408
16,2023-09-01,Tempe,8855.210269
17,2023-09-01,Gula Pasir,15218.391904
18,2023-09-01,Susu Bubuk Untuk Balita,64388.076604
19,2023-09-01,Susu Bubuk Untuk Bayi,74108.716803
20,2023-09-01,Bahan Bakar Rumah Tangga,24266.370311
21,2023-09-01,Emas Perhiasan,864137.6113
1,2023-10-01,Beras,15550.812132
2,2023-10-01,Tepung Terigu,14076.394014
3,2023-10-01,Daging Ayam Ras,55133.638502
4,2023-10-01,Daging Sapi,165951.799281
5,2023-10-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,56104.609667
6,2023-10-01,Susu Bubuk,50291.903696
7,2023-10-01,Susu Kental Manis,12784.743469
8,2023-10-01,Telur Ayam Ras,1986.186203
9,2023-10-01,Minyak Goreng,18070.584338
10,2023-10-01,Tomat,15736.498646
11,2023-10-01,Cabai Merah,42303.505052
12,2023-10-01,Cabai Rawit,47438.880922
13,2023-10-01,Bawang Merah,19749.971209
14,2023-10-01,Bawang Putih,22410.912138
15,2023-10-01,Tahu Mentah,12019.198408
16,2023-10-01,Tempe,8855.210269
17,2023-10-01,Gula Pasir,15733.416685
18,2023-10-01,Susu Bubuk Untuk Balita,64356.869318
19,2023-10-01,Susu Bubuk Untuk Bayi,74222.103416
20,2023-10-01,Bahan Bakar Rumah Tangga,24266.370311
21,2023-10-01,Emas Perhiasan,872364.848546
1,2023-11-01,Beras,15583.709362
2,2023-11-01,Tepung Terigu,13900.860199
3,2023-11-01,Daging Ayam Ras,55032.621514
4,2023-11-01,Daging Sapi,165951.799281
5,2023-11-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,56872.804765
6,2023-11-01,Susu Bubuk,50134.251843
7,2023-11-01,Susu Kental Manis,12727.028393
8,2023-11-01,Telur Ayam Ras,1965.136593
9,2023-11-01,Minyak Goreng,18050.161864
10,2023-11-01,Tomat,14013.673759
11,2023-11-01,Cabai Merah,65281.838359
12,2023-11-01,Cabai Rawit,68417.715414
13,2023-11-01,Bawang Merah,23484.41015
14,2023-11-01,Bawang Putih,21949.015669
15,2023-11-01,Tahu Mentah,12019.198408
16,2023-11-01,Tempe,8855.210269
17,2023-11-01,Gula Pasir,16636.434496
18,2023-11-01,Susu Bubuk Untuk Balita,64206.177225
19,2023-11-01,Susu Bubuk Untuk Bayi,74165.810969
20,2023-11-01,Bahan Bakar Rumah Tangga,24262.758989
21,2023-11-01,Emas Perhiasan,897366.097717
1,2023-12-01,Beras,15644.199937
2,2023-12-01,Tepung Terigu,11813.974182
3,2023-12-01,Daging Ayam Ras,53700.978105
4,2023-12-01,Daging Sapi,162701.216085
5,2023-12-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,39209.031761
6,2023-12-01,Susu Bubuk,97915.030977
7,2023-12-01,Susu Kental Manis,11773.089999
8,2023-12-01,Telur Ayam Ras,7396.559067
9,2023-12-01,Minyak Goreng,16407.05763
10,2023-12-01,Tomat,18000.0
11,2023-12-01,Cabai Merah,63288.907088
12,2023-12-01,Cabai Rawit,56537.102266
13,2023-12-01,Bawang Merah,34530.010446
14,2023-12-01,Bawang Putih,35392.965948
15,2023-12-01,Tahu Mentah,13903.047124
16,2023-12-01,Tempe,15217.577729
17,2023-12-01,Gula Pasir,17388.909665
18,2023-12-01,Susu Bubuk Untuk Balita,49949.925461
19,2023-12-01,Susu Bubuk Untuk Bayi,70266.045247
20,2023-12-01,Bahan Bakar Rumah Tangga,7150.187382
21,2023-12-01,Emas Perhiasan,841427.3143
1,2024-01-01,Beras,15719.462776
2,2024-01-01,Tepung Terigu,11176.038112
3,2024-01-01,Daging Ayam Ras,55825.041844
4,2024-01-01,Daging Sapi,162701.216085
5,2024-01-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,38686.728405
6,2024-01-01,Susu Bubuk,97813.783186
7,2024-01-01,Susu Kental Manis,11863.413811
8,2024-01-01,Telur Ayam Ras,5964.21532
9,2024-01-01,Minyak Goreng,16473.809358
10,2024-01-01,Tomat,20640.84439
11,2024-01-01,Cabai Merah,45391.258401
12,2024-01-01,Cabai Rawit,46496.870182
13,2024-01-01,Bawang Merah,33187.358091
14,2024-01-01,Bawang Putih,36451.967944
15,2024-01-01,Tahu Mentah,13907.101645
16,2024-01-01,Tempe,15217.577729
17,2024-01-01,Gula Pasir,17336.692789
18,2024-01-01,Susu Bubuk Untuk Balita,50030.77924
19,2024-01-01,Susu Bubuk Untuk Bayi,69824.008856
20,2024-01-01,Bahan Bakar Rumah Tangga,7148.908554
21,2024-01-01,Emas Perhiasan,855263.298258
1,2024-02-01,Beras,15814.987274
